# E fE1+fM1 fE1 fM1 fE2
1.045226130653266416e+00 1.379646729307171054e-08 2.773856169111927183e-09 1.094673580300947382e-08 7.587532095030967816e-11
1.094974874371859475e+00 1.257440530740556517e-08 2.786641593962377998e-09 9.715259649890844113e-09 7.250406355234414905e-11
1.144723618090452311e+00 1.153951297664533763e-08 2.799595024650119761e-09 8.670488623579889589e-09 6.942932841532897473e-11
1.194472361809045369e+00 1.065719879956478016e-08 2.812724565280629449e-09 7.777860152940133569e-09 6.661408134401686894e-11
1.244221105527638427e+00 9.900365551159971125e-09 2.826038384082851125e-09 7.010299955142998831e-09 6.402721193412056095e-11
1.293969849246231263e+00 9.247568690190317201e-09 2.839544716494552322e-09 6.346381578864905298e-09 6.164239483086031796e-11
1.343718592964824321e+00 8.681677116951391671e-09 2.853251868287091451e-09 5.768988044717454776e-09 5.943720394684558579e-11
1.393467336683417157e+00 8.188886611910704324e-09 2.867168218731516118e-09 5.264325976756920161e-09 5.739241642226793541e-11
1.443216080402010215e+00 7.757984390269400357e-09 2.881302223807951522e-09 4.821190705917960493e-09 5.549146054348843283e-11
1.492964824120603273e+00 7.379794795547981274e-09 2.895662419460276989e-09 4.430412402046664603e-09 5.371997404103890612e-11
1.542713567839196109e+00 7.046757237298895355e-09 2.910257424898107318e-09 4.084434364550010886e-09 5.206544785077653036e-11
1.592462311557789167e+00 6.752601761176714477e-09 2.925095945948174586e-09 3.776988878579508147e-09 5.051693664903136939e-11
1.642211055276382003e+00 6.492097452222453114e-09 2.940186778457214774e-09 3.502845851763331597e-09 4.906482200190633596e-11
1.691959798994975062e+00 6.260855701513733182e-09 2.955538811748519798e-09 3.257616272465587898e-09 4.770061729962582196e-11
1.741708542713568120e+00 6.055175177122732688e-09 2.971161032134383381e-09 3.037597338867009552e-09 4.641680612133992954e-11
1.791457286432160956e+00 5.871918767727860409e-09 2.987062526486670002e-09 2.839649533709343791e-09 4.520670753184678388e-11
1.841206030150754014e+00 5.708415235045710820e-09 3.003252485867850344e-09 2.661098385961459307e-09 4.406436321640068377e-11
1.890954773869346850e+00 5.562380105903387862e-09 3.019740209224845389e-09 2.499655454246666917e-09 4.298444243187583983e-11
1.940703517587939908e+00 5.431851652151299204e-09 3.036535107148108591e-09 2.353354383425879365e-09 4.196216157731153794e-11
1.990452261306532966e+00 5.315138782216040699e-09 3.053646705698418991e-09 2.220498860691523222e-09 4.099321582609835661e-11
2.040201005025125802e+00 5.210778396624690315e-09 3.071084650303940010e-09 2.099620025559735999e-09 4.007372076101417587e-11
2.089949748743718860e+00 5.117500308166311906e-09 3.088858709730125981e-09 1.989441436090812163e-09 3.920016234537435047e-11
2.139698492462311918e+00 5.034198243154497380e-09 3.106978780125157288e-09 1.888850109155760877e-09 3.836935387357946764e-11
2.189447236180904532e+00 4.959905757790275317e-09 3.125454889143641692e-09 1.796872469855672143e-09 3.757839879096199927e-11
2.239195979899497591e+00 4.893776147754933014e-09 3.144297200151383074e-09 1.712654289133408737e-09 3.682465847014130613e-11
2.288944723618090649e+00 4.835065618060185221e-09 3.163516016514106530e-09 1.635443877356272039e-09 3.610572418980701415e-11
2.338693467336683707e+00 4.783119127237192738e-09 3.183121785973090780e-09 1.564577948573924036e-09 3.541939269017810319e-11
2.388442211055276765e+00 4.737358435091709539e-09 3.203125105110757718e-09 1.499469685197296365e-09 3.476364478365500342e-11
2.438190954773869379e+00 4.697271973914671272e-09 3.223536723909325146e-09 1.439598623421041921e-09 3.413662658430488338e-11
2.487939698492462437e+00 4.662406234800838598e-09 3.244367550405746235e-09 1.384502051405467292e-09 3.353663298962426924e-11
2.537688442211055495e+00 4.632358417820534916e-09 3.265628655446222507e-09 1.333767669268801495e-09 3.296209310551026842e-11
2.587437185929648553e+00 4.606770140431218361e-09 3.287331277543679700e-09 1.287027305534626413e-09 3.241155735291249341e-11
2.637185929648241611e+00 4.585322035172989635e-09 3.309486827841702620e-09 1.243951521297181306e-09 3.188368603410580608e-11
2.686934673366834225e+00 4.567729097265377732e-09 3.332106895188501958e-09 1.204244962907459554e-09 3.137723916941607126e-11
2.736683417085427283e+00 4.553736666683158655e-09 3.355203251324613901e-09 1.167642347915803507e-09 3.089106744274165502e-11
2.786432160804020342e+00 4.543116948781776973e-09 3.378787856188125558e-09 1.133904988476347872e-09 3.042410411730329114e-11
2.836180904522613400e+00 4.535665993464054186e-09 3.402872863341328853e-09 1.102817772320225401e-09 2.997535780249993203e-11
2.885929648241206458e+00 4.531201065933367768e-09 3.427470625522847782e-09 1.074186534441344715e-09 2.954390596917587863e-11
2.935678391959799072e+00 4.529558352819959326e-09 3.452593700329360476e-09 1.047835763366071611e-09 2.912888912452764573e-11
2.985427135678392130e+00 4.530590956337529937e-09 3.478254856031205822e-09 1.023606594736611191e-09 2.872950556971282016e-11
3.035175879396985188e+00 4.534167136477454615e-09 3.504467077526261181e-09 1.001355052277880063e-09 2.834500667331277925e-11
